2017-06-16 Start Log
192.168.107.10 - NO UDEV 

192.168.107.11 - NO UDEV 

192.168.11.6 - NO UDEV 

192.168.11.7 - NO UDEV 

192.168.7.10 - NO UDEV 

192.168.7.6 - NO UDEV 

192.168.8.11 - NO UDEV 

192.168.12.6 - NO UDEV 

192.168.13.6 - NO UDEV 

192.168.13.8 - NO UDEV 

192.168.14.6 - NO UDEV 

192.168.14.7 - NO UDEV 

192.168.14.8 - NO UDEV 

192.168.16.11 - ERROR. 255

192.168.19.10 - NO UDEV 

192.168.19.11 - NO UDEV 

192.168.22.10 - NO UDEV 

192.168.22.11 - NO UDEV 

192.168.23.10 - NO UDEV 

192.168.24.10 - NO UDEV 

192.168.23.12 - ERROR. 255

192.168.24.11 - NO UDEV 

192.168.206.11 - NO UDEV 

192.168.207.10 - NO UDEV 

192.168.207.11 - NO UDEV 

192.168.209.10 - NO UDEV 

192.168.209.11 - NO UDEV 

192.168.210.10 - NO UDEV 

192.168.210.11 - NO UDEV 

192.168.211.10 - NO UDEV 

192.168.212.10 - NO UDEV 

192.168.211.11 - ERROR. 255

192.168.212.11 - NO UDEV 

192.168.212.13 - NO UDEV 

192.168.213.10 - NO UDEV 

192.168.213.11 - NO UDEV 

192.168.217.10 - NO UDEV 

192.168.217.11 - NO UDEV 

192.168.218.10 - NO UDEV 

192.168.58.11 - NO UDEV 

192.168.220.10 - NO UDEV 

192.168.220.11 - NO UDEV 

192.168.222.10 - NO UDEV 

192.168.224.10 - NO UDEV 

192.168.224.11 - NO UDEV 

192.168.225.10 - NO UDEV 

192.168.225.11 - NO UDEV 

192.168.226.10 - NO UDEV 

192.168.226.12 - NO UDEV 

192.168.232.10 - NO UDEV 

192.168.232.11 - NO UDEV 

192.168.233.10 - NO UDEV 

192.168.233.11 - NO UDEV 

192.168.234.10 - NO UDEV 

192.168.234.11 - NO UDEV 

192.168.234.12 - NO UDEV 

192.168.235.11 - NO UDEV 

192.168.236.10 - NO UDEV 

192.168.236.11 - NO UDEV 

192.168.238.10 - NO UDEV 

192.168.238.11 - NO UDEV 

192.168.243.10 - NO UDEV 

192.168.243.11 - NO UDEV 

192.168.244.10 - NO UDEV 

192.168.244.11 - NO UDEV 

192.168.247.10 - NO UDEV 

192.168.247.11 - NO UDEV 

192.168.247.12 - NO UDEV 

192.168.247.13 - NO UDEV 

192.168.248.10 - NO UDEV 

192.168.248.11 - NO UDEV 

192.168.249.11 - NO UDEV 

192.168.26.10 - NO UDEV 

192.168.28.10 - NO UDEV 

192.168.29.10 - NO UDEV 

192.168.29.11 - NO UDEV 

192.168.31.10 - NO UDEV 

192.168.31.11 - NO UDEV 

192.168.31.12 - NO UDEV 

192.168.32.10 - NO UDEV 

192.168.32.11 - NO UDEV 

192.168.33.10 - NO UDEV 

192.168.36.10 - NO UDEV 

192.168.36.11 - NO UDEV 

192.168.37.10 - NO UDEV 

192.168.37.11 - NO UDEV 

192.168.41.10 - NO UDEV 

192.168.41.11 - NO UDEV 

192.168.41.12 - NO UDEV 

192.168.42.10 - NO UDEV 

192.168.42.11 - NO UDEV 

192.168.43.10 - NO UDEV 

192.168.43.11 - NO UDEV 

192.168.44.10 - NO UDEV 

192.168.45.11 - NO UDEV 

192.168.45.10 - ERROR. 255

192.168.46.10 - NO UDEV 

192.168.46.11 - NO UDEV 

10.20.20.10 - NO UDEV 

10.20.20.11 - NO UDEV 

10.20.21.10 - NO UDEV 

10.20.21.11 - NO UDEV 

10.20.22.10 - NO UDEV 

10.20.22.11 - NO UDEV 

10.20.23.10 - NO UDEV 

10.20.23.11 - NO UDEV 

10.20.23.12 - ERROR. 255

192.168.239.10 - NO UDEV 

192.168.239.11 - NO UDEV 

10.20.25.10 - NO UDEV 

10.20.25.11 - NO UDEV 

10.20.25.12 - NO UDEV 

10.20.26.10 - NO UDEV 

10.20.26.11 - NO UDEV 

192.168.250.10 - NO UDEV 

192.168.250.11 - NO UDEV 

192.168.48.10 - NO UDEV 

192.168.48.11 - NO UDEV 

10.20.27.10 - NO UDEV 

10.20.27.11 - NO UDEV 

192.168.49.10 - NO UDEV 

192.168.49.11 - NO UDEV 

192.168.49.12 - NO UDEV 

10.20.28.10 - NO UDEV 

10.20.28.11 - NO UDEV 

192.168.52.10 - NO UDEV 

192.168.52.11 - NO UDEV 

192.168.53.10 - NO UDEV 

192.168.53.11 - NO UDEV 

192.168.53.12 - NO UDEV 

10.20.31.10 - NO UDEV 

10.20.31.11 - NO UDEV 

192.168.56.10 - NO UDEV 

192.168.56.11 - NO UDEV 

192.168.56.12 - NO UDEV 

192.168.57.10 - NO UDEV 

192.168.57.11 - NO UDEV 

192.168.57.12 - NO UDEV 

192.168.59.10 - NO UDEV 

192.168.59.11 - NO UDEV 

192.168.67.10 - NO UDEV 

192.168.67.11 - NO UDEV 

10.20.36.10 - ERROR. 255

10.20.36.11 - ERROR. 255

192.168.63.10 - NO UDEV 

192.168.63.11 - NO UDEV 

192.168.64.10 - NO UDEV 

192.168.64.11 - NO UDEV 

10.20.35.10 - NO UDEV 

10.20.35.11 - NO UDEV 

192.168.70.10 - NO UDEV 

192.168.70.11 - NO UDEV 

192.168.68.10 - NO UDEV 

192.168.68.11 - NO UDEV 

192.168.69.10 - ERROR. 255

192.168.72.10 - NO UDEV 

192.168.69.11 - ERROR. 255

192.168.72.11 - NO UDEV 

192.168.71.10 - NO UDEV 

192.168.71.11 - NO UDEV 

192.168.71.12 - NO UDEV 

192.168.100.10 - NO UDEV 

192.168.100.11 - NO UDEV 

192.168.81.12 - ERROR. 255

192.168.82.11 - NO UDEV 

192.168.84.12 - ERROR. 255

10.20.37.10 - NO UDEV 

10.20.37.11 - NO UDEV 

10.20.38.10 - NO UDEV 

192.168.89.10 - NO UDEV 

192.168.89.11 - NO UDEV 

10.20.40.10 - NO UDEV 

10.20.40.11 - NO UDEV 

192.168.97.10 - NO UDEV 

192.168.97.11 - NO UDEV 

192.168.219.10 - NO UDEV 

192.168.219.11 - NO UDEV 

192.168.215.10 - NO UDEV 

192.168.101.10 - NO UDEV 

192.168.215.11 - NO UDEV 

192.168.101.11 - NO UDEV 

192.168.102.10 - NO UDEV 

192.168.102.11 - NO UDEV 

192.168.103.10 - NO UDEV 

192.168.103.11 - NO UDEV 

192.168.103.12 - NO UDEV 

192.168.104.10 - NO UDEV 

192.168.104.11 - NO UDEV 

192.168.105.10 - NO UDEV 

192.168.105.11 - NO UDEV 

192.168.105.12 - NO UDEV 

192.168.106.10 - NO UDEV 

192.168.106.11 - NO UDEV 

192.168.61.10 - NO UDEV 

192.168.61.11 - NO UDEV 

192.168.126.11 - NO UDEV 

192.168.126.12 - NO UDEV 

192.168.110.10 - NO UDEV 

192.168.110.11 - NO UDEV 

192.168.111.10 - NO UDEV 

192.168.111.11 - NO UDEV 

192.168.114.10 - NO UDEV 

192.168.116.10 - NO UDEV 

192.168.116.11 - NO UDEV 

192.168.237.10 - NO UDEV 

192.168.237.11 - NO UDEV 

192.168.237.12 - NO UDEV 

192.168.122.10 - ERROR. 255

192.168.118.10 - NO UDEV 

192.168.118.11 - NO UDEV 

192.168.118.12 - NO UDEV 

10.20.41.11 - NO UDEV 

10.20.122.10 - NO UDEV 

10.20.122.11 - NO UDEV 

192.168.121.10 - NO UDEV 

192.168.121.11 - NO UDEV 

192.168.124.10 - NO UDEV 

192.168.124.11 - NO UDEV 

10.20.200.10 - NO UDEV 

10.20.200.11 - NO UDEV 

10.20.42.10 - NO UDEV 

10.20.42.12 - NO UDEV 

192.168.125.10 - NO UDEV 

192.168.125.11 - NO UDEV 

192.168.125.12 - NO UDEV 

10.20.42.11 - NO UDEV 

192.168.128.10 - NO UDEV 

192.168.128.11 - NO UDEV 

10.20.250.11 - ERROR. 255

10.20.47.10 - ERROR. 255

10.20.47.11 - ERROR. 255

192.168.133.10 - ERROR. 255

192.168.133.11 - ERROR. 255

192.168.133.12 - ERROR. 255

