smr_buyanova,10.20.92.4
smr_mitireva,10.20.92.8
smr_samarskaya,10.20.92.12
smr_aero2,10.20.92.16
borkovka2_rt,10.20.92.20
smr_kirova,10.20.92.24
smr_zsh46,10.20.92.28
smr_st_zagora46,10.20.92.32
smr_standartnaya,10.20.92.36
smr_fiz,10.20.92.40
smr_aero70,10.20.92.44
smr_dimitrova44,10.20.92.48
smr_revol4,10.20.92.52
smr_aero1,10.20.92.56
kinel_oct,10.20.92.60
szn_kmarksa12,10.20.92.64
pn_suvorova19,10.20.92.68
smr_myagi,10.20.92.72
smr_zaporozhskaya,10.20.92.76
smr_vrubelya,10.20.92.80
smr_st_zagora_1,10.20.92.84
pn_sverdlova2,10.20.92.88
smr_sa,10.20.92.92
pn_mironova,10.20.92.96
smr_pobeda,10.20.92.100
kinel_eksperiment,10.20.92.104
smr_smishlaevka32,10.20.92.108
smr_dimitrova117,10.20.92.112
pestravka,10.20.92.116
tlt_leningrad3,10.20.92.120
pn_egorova,10.20.92.124
bigglush,10.20.92.128
kinel_mayak,10.20.92.132
neftegorsk_pobedi,10.20.92.136
smr_obl_krasnoarmeyskoe,10.20.92.140
pribrezhniy,10.20.92.144
